sg_uf;nr_turno;ds_cargo;nm_candidato;qt_votos_nominais;dt_carga
AC;2;Presidente;JAIR MESSIAS BOLSONARO;287750;2022-11-27 18:56:18
AC;2;Presidente;LUIZ INACIO LULA DA SILVA;121566;2022-11-27 18:56:18
AL;2;Presidente;JAIR MESSIAS BOLSONARO;687827;2022-11-27 18:56:18
AL;2;Presidente;LUIZ INACIO LULA DA SILVA;976831;2022-11-27 18:56:18
AM;2;Presidente;JAIR MESSIAS BOLSONARO;961741;2022-11-27 18:56:18
AM;2;Presidente;LUIZ INACIO LULA DA SILVA;1004991;2022-11-27 18:56:18
AP;2;Presidente;JAIR MESSIAS BOLSONARO;200547;2022-11-27 18:56:18
AP;2;Presidente;LUIZ INACIO LULA DA SILVA;189918;2022-11-27 18:56:18
BA;2;Presidente;JAIR MESSIAS BOLSONARO;2357028;2022-11-27 18:56:18
BA;2;Presidente;LUIZ INACIO LULA DA SILVA;6097815;2022-11-27 18:56:18
CE;2;Presidente;JAIR MESSIAS BOLSONARO;1634477;2022-11-27 18:56:18
CE;2;Presidente;LUIZ INACIO LULA DA SILVA;3807891;2022-11-27 18:56:18
DF;2;Presidente;JAIR MESSIAS BOLSONARO;1041331;2022-11-27 18:56:18
DF;2;Presidente;LUIZ INACIO LULA DA SILVA;729295;2022-11-27 18:56:18
ES;2;Presidente;JAIR MESSIAS BOLSONARO;1282145;2022-11-27 18:56:18
ES;2;Presidente;LUIZ INACIO LULA DA SILVA;926767;2022-11-27 18:56:18
GO;2;Presidente;JAIR MESSIAS BOLSONARO;2193041;2022-11-27 18:56:18
GO;2;Presidente;LUIZ INACIO LULA DA SILVA;1542115;2022-11-27 18:56:18
MA;2;Presidente;JAIR MESSIAS BOLSONARO;1082749;2022-11-27 18:56:18
MA;2;Presidente;LUIZ INACIO LULA DA SILVA;2668425;2022-11-27 18:56:18
MG;2;Presidente;JAIR MESSIAS BOLSONARO;6141310;2022-11-27 18:56:18
MG;2;Presidente;LUIZ INACIO LULA DA SILVA;6190960;2022-11-27 18:56:18
MS;2;Presidente;JAIR MESSIAS BOLSONARO;880606;2022-11-27 18:56:18
MS;2;Presidente;LUIZ INACIO LULA DA SILVA;599547;2022-11-27 18:56:18
MT;2;Presidente;JAIR MESSIAS BOLSONARO;1216730;2022-11-27 18:56:18
MT;2;Presidente;LUIZ INACIO LULA DA SILVA;652786;2022-11-27 18:56:18
PA;2;Presidente;JAIR MESSIAS BOLSONARO;2073895;2022-11-27 18:56:18
PA;2;Presidente;LUIZ INACIO LULA DA SILVA;2509084;2022-11-27 18:56:18
PB;2;Presidente;JAIR MESSIAS BOLSONARO;802502;2022-11-27 18:56:18
PB;2;Presidente;LUIZ INACIO LULA DA SILVA;1601953;2022-11-27 18:56:18
PE;2;Presidente;JAIR MESSIAS BOLSONARO;1798832;2022-11-27 18:56:18
PE;2;Presidente;LUIZ INACIO LULA DA SILVA;3640933;2022-11-27 18:56:18
PI;2;Presidente;JAIR MESSIAS BOLSONARO;467065;2022-11-27 18:56:18
PI;2;Presidente;LUIZ INACIO LULA DA SILVA;1551383;2022-11-27 18:56:18
PR;2;Presidente;JAIR MESSIAS BOLSONARO;4159343;2022-11-27 18:56:18
PR;2;Presidente;LUIZ INACIO LULA DA SILVA;2506605;2022-11-27 18:56:18
RJ;2;Presidente;JAIR MESSIAS BOLSONARO;5403894;2022-11-27 18:56:18
RJ;2;Presidente;LUIZ INACIO LULA DA SILVA;4156217;2022-11-27 18:56:18
RN;2;Presidente;JAIR MESSIAS BOLSONARO;711381;2022-11-27 18:56:18
RN;2;Presidente;LUIZ INACIO LULA DA SILVA;1326785;2022-11-27 18:56:18
RO;2;Presidente;JAIR MESSIAS BOLSONARO;633236;2022-11-27 18:56:18
RO;2;Presidente;LUIZ INACIO LULA DA SILVA;262904;2022-11-27 18:56:18
RR;2;Presidente;JAIR MESSIAS BOLSONARO;213518;2022-11-27 18:56:18
RR;2;Presidente;LUIZ INACIO LULA DA SILVA;67128;2022-11-27 18:56:18
RS;2;Presidente;JAIR MESSIAS BOLSONARO;3733185;2022-11-27 18:56:18
RS;2;Presidente;LUIZ INACIO LULA DA SILVA;2891851;2022-11-27 18:56:18
SC;2;Presidente;JAIR MESSIAS BOLSONARO;3047630;2022-11-27 18:56:18
SC;2;Presidente;LUIZ INACIO LULA DA SILVA;1351918;2022-11-27 18:56:18
SE;2;Presidente;JAIR MESSIAS BOLSONARO;421086;2022-11-27 18:56:18
SE;2;Presidente;LUIZ INACIO LULA DA SILVA;862951;2022-11-27 18:56:18
SP;2;Presidente;JAIR MESSIAS BOLSONARO;14216587;2022-11-27 18:56:18
SP;2;Presidente;LUIZ INACIO LULA DA SILVA;11519882;2022-11-27 18:56:18
TO;2;Presidente;JAIR MESSIAS BOLSONARO;411654;2022-11-27 18:56:18
TO;2;Presidente;LUIZ INACIO LULA DA SILVA;434593;2022-11-27 18:56:18
